#File format: word,sPoint,nPoint,yPoint,mPoint
кружиться, 3,4,1,2
леденец, 3,4,2,1
пуф, 3,4,2,1
пузырьки,3,4,1,2
шепот, 3,4,1,2
лето,3,4,1,2
водопад,2,4,3,1
купальник,3,4,1,2
ваниль, 3,4,2,1
наушники,3,4,1,2
игры,3,4,1,2
носки,3,4,1,2
волосы,2,4,1,3
ночнушка,1,4,3,2
одеяло,1,4,3,2
молоко,3,4,2,1
дуться, 3,4,2,1
гнев,3,4,1,2
папа, 3,4,1,2
валентинка,2,4,1,3
мышь,2,4,3,1
свисток,3,4,1,2
буп, 3,4,1,2
кролик, 2,4,1,3
аниме, 2,4,1,3
прыжок,3,4,1,2
гигиена, 1,4,2,3
мода,3,4,1,2
решимость,2,1,4,3
самоубийство,3,1,4,2
воображение,3,1,4,2
скрытность,3,2,4,1
жизнеспособность,1,3,4,2
существование,2,1,4,3
лучезарный, 3,2,4,1
багровый,3,2,4,1
вихрь,3,2,4,1
послеобразы,3,2,4,1
головокружение, 1, 3, 4, 2
дезориентированность,3,1,4,2
сущность,2,1,4,3
окружение,2,1,4,3
беспорядок, 3, 2, 4, 1
загрязнение,3,2,4,1
интеллектуальный,2,1,4,3
анализ,2,1,4,3
энтропия,1,2,4,3
бодрый, 3,2,4,1
сверхъестественный,3,2,4,1
несоответствие,2,1,4,3
гнев, 3, 2, 4, 1
небесный, 2, 1, 4, 3
резня,3,2,4,1
философия,2,1,4,3
переменчивый,3,1,4,2
упорный,3,1,4,2
аура,2,1,4,3
нестабильный,3,1,4,2
инферно,3,2,4,1
неспособный,3,2,4,1
судьба,2,1,4,3
непогрешимый, 2,1,4,3
мучительный,3,1,4,2
дисперсия, 3, 1, 4, 2
неконтролируемый, 3, 1, 4, 2
экстремальный, 2, 1, 4, 3
бегство,3,2,4,1
мечта, 2, 1, 4, 3
катастрофа,3,1,4,2
яркий,3,1,4,2
яркий,1,3,4,2
вопрос,1,2,4,3
нагноение,3,2,4,1
осуждение,2,1,4,3
клетка,1,2,4,3
взрыв, 2, 3, 4, 1
удовольствие, 1, 3, 4, 2
похоть,1,3,4,2
ощущение,1,3,4,2
кульминация, 1,3,4,2
электричество,1,2,4,3
отрекаться, 3, 1, 4, 2
презирать, 3, 2, 4, 1
бесконечный, 2, 1, 4, 3
вечность,2,1,4,3
время, 2, 1, 4, 3
вселенная, 2, 1, 4, 3
бесконечный, 2, 1, 4, 3
жаждать,1,3,4,2
безудержный,3,1,4,2
пейзаж,2,1,4,3
портрет,2,1,4,3
путешествие,3,1,4,2
скудный,3,1,4,2
тревога,3,2,4,1
испуг,3,1,4,2
ужас,3,1,4,2
меланхолия,3,1,4,2
прозрение,2,1,4,3
искупление, 3, 1, 4, 2
дышать,1,3,4,2
пленник,3,1,4,2
желание,1,3,4,2
кладбище, 3, 2, 4, 1
энигма, 1, 3, 4, 2
симулякр,3,2,4,1
иллюминация,3,2,4,1
аромат,1,2,4,3
тайный, 1,3,4,2
аркан, 1,3,4,2
вместилище,1,2,4,3
бездна,1,2,4,3
излияние, 1,2,4,3
искажать, 1,3,4,2
сходиться,2,1,4,3
изменчивый,3,1,4,2
совестливый, 3, 1, 2, 4
будущее,3,1,2,4
уверенность,3,2,1,4
пылкость,3,2,1,4
реальность, 3, 1, 2, 4
конечность,3,1,2,4
душа,3,1,2,4
нежный,3,1,2,4
терпение,3,1,2,4
экстраверт,3,2,1,4
раскаяние,3,1,2,4
воля, 3,2,1,4
отказ, 3, 1, 2, 4
эскапада,2,3,1,4
рассудительный,1,3,2,4
правда,1,3,2,4
упорство,2,3,1,4
ловкость, 2,3,1,4
тактичный, 1,3,2,4
гарнер,2,3,1,4
кофе,2,3,1,4
имитация,2,3,1,4
преемственность,2,3,1,4
травление,1,3,2,4
реституция,1,3,2,4
стремление,2,3,1,4
ценность,2,3,1,4
соперничество, 2,3,1,4
трансцендировать, 2,3,1,4
чувство, 2,1,3,4
периферия, 2,1,3,4
муза,1,2,3,4
оркестр,1,2,3,4
пропитание,2,1,3,4
формальный, 1,2,3,4
лингвистический, 1,2,3,4
сердечный,1,2,3,4
убунту,2,1,3,4
изучение,1,2,3,4
факультет,1,2,3,4
изумрудный,2,1,3,4
увековечить, 2,1,3,4
эзотерика,1,2,3,4
отчуждение,2,1,3,4
творчество,2,1,3,4
апокрифический,1,2,3,4
напыщенный,1,2,3,4
литература,1,2,3,4
уединение,2,1,3,4
удержание,2,3,1,4
алчность,3,3,1,4
углубляться, 3,2,1,4
отсеивание,1,2,2,4
