#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
неожиданный,4,2,3,1
пара,4,1,2,3
щебетать,4,1,3,2
забыть,4,2,3,1
бог,4,1,3,2
движение,4,3,2,1
подмигивание,4,1,2,3
вера,4,1,3,2
ребячество,4,3,2,1
смаковать,4,3,2,1
растущий,4,3,2,1
полночь,4,2,3,1
восхождение,4,3,2,1
горько-сладкий,4,2,1,3
картина,4,1,2,3
горе,4,1,3,2
благословлять,4,1,3,2
исследовать,4,3,1,2
присутствие,4,1,2,3
отвлеченный,4,3,2,1
веревка,4,1,3,2
наслаждаться,4,1,3,2
реветь,4,3,1,2
отдыхать,4,3,1,2
завидовать,4,1,2,3
обнаружить,4,3,1,2
очаровательный,4,1,2,3
больной,4,2,3,1
прогулка,4,1,3,2
окутанный,4,2,3,1
листья,4,3,2,1
нервный,4,1,3,2
ожидание,4,2,3,1
образ,4,1,2,3
комплимент,4,2,1,3
отказ,4,1,2,3
беспокойство,4,1,3,2
шаги,4,1,3,2
оставаться,4,1,2,3
парализованный,4,1,3,2
наулице,4,1,3,2
солнечный,4,3,1,2
неспособный,4,3,2,1
другой,4,2,1,3
светлеть,4,1,3,2
повторять,4,2,3,1
слушать,4,2,1,3
одиночество,4,2,1,3
жена,4,2,1,3
ветерок,4,1,3,2
расставание,4,1,2,3
живой,4,1,3,2
дети,4,2,1,3
пирог,4,3,2,1
путешествие,4,3,1,2
дорогой,4,1,2,3
восторг,4,2,1,3
неясный,4,2,3,1
обниматься,4,1,2,3
неудача,4,1,3,2
лирика,4,2,1,3
тупик,4,2,3,1
вспоминать,4,2,1,3
ласка,4,1,2,3
крик,4,3,1,2
десерт,4,3,2,1
несчастье,4,2,3,1
трепет,4,1,2,3
муж,4,2,1,3
ад,4,1,3,2
невежественный,4,2,3,1
никогда,4,1,3,2
красивый,4,1,2,3
победа,4,2,3,1
спать,4,3,1,2
навсегда,4,2,1,3
корица,4,3,2,1
оплошность,4,1,2,3
судьба,4,2,3,1
потемнеть,4,2,3,1
помнить,4,2,3,1
заботиться,4,2,3,1
сиять,4,1,3,2
обнимать,4,1,2,3
гром,4,3,1,2
спорить,4,2,3,1
поощрять,4,2,3,1
сомневаться,4,3,2,1
искренний,4,2,1,3
худший,4,1,2,3
компаньонка,4,1,2,3
светлый,4,1,3,2
дремать,4,3,1,2
верить,4,2,3,1
прощание,4,1,3,2
скука,4,3,1,2
безразличный,4,2,3,1
пересмотреть,4,2,1,3
потерять,4,2,3,1
непреднамеренный,4,2,3,1
подача,4,2,3,1
лучи,4,1,3,2
уникальный,4,2,1,3
ошибка,4,1,2,3
оцепенение,4,3,2,1
несчастный,4,2,3,1
эксклюзивный,4,2,1,3
сожаление,4,1,2,3
молния,4,3,1,2
судьбоносный,4,2,3,1
дождь,4,3,1,2
усталый,4,2,3,1
инструмент,4,2,1,3
размышлять,4,1,3,2
лотерея,4,2,3,1
мысли,4,2,1,3
сверчки,4,3,1,2
случайный,4,2,3,1
сцепление,4,1,2,3
держать,4,1,2,3
милый,2,4,1,3
пушистый,3,4,2,1
чистый,2,4,3,1
конфеты,3,4,2,1
покупки,2,4,1,3
щенок,2,4,1,3
котёнок,2,4,1,3
облака,3,4,2,1
помада,1,4,2,3
парфе,2,4,1,3
клубничный,3,4,2,1
розовый,2,4,1,3
шоколад,2,4,1,3
сердцебиение,1,4,2,3
поцелуй,1,4,2,3
мелодия,2,4,1,3
ленточка,3,4,1,2
прыгучий,2,4,1,3
доки-доки,2,4,1,3
кавайи,2,4,1,3
юбка,3,4,1,2
щёчки,3,4,1,2
письмо,2,4,1,3
липкий,3,4,2,1
упругий,2,4,1,3
блесна,3,4,2,1
поклёвка,3,4,2,1
фантазия,1,4,2,3
сахар,3,4,2,1
хихикать,3,4,1,2
зефир,3,4,2,1
прыжок,3,4,1,2
прыжки,3,4,1,2
мир,3,4,1,2
вращение,3,4,1,2
кружиться,3,4,1,2
леденец,3,4,2,1
пузырьки,3,4,1,2
шёпот,3,4,1,2
лето,3,4,1,2
водопад,2,4,3,1
купальник,3,4,1,2
ваниль,3,4,2,1
наушники,3,4,1,2
игры,3,4,1,2
носки,3,4,1,2
волосы,2,4,1,3
одеяло,1,4,3,2
молоко,3,4,2,1
дуться,3,4,2,1
гнев,3,4,1,2
папа,3,4,1,2
валентинка,2,4,1,3
мышь,2,4,3,1
свисток,3,4,1,2
буп,3,4,1,2
кролик,2,4,1,3
аниме,2,4,1,3
прыжок,3,4,1,2
рассуждать,1,4,3,2
понимать,1,4,2,3
грубый,3,4,2,1
откровение,1,4,2,3
коса,2,4,1,3
срабатывать,1,4,3,2
задира,2,4,3,1
отвращение,3,4,2,1
бам,3,4,2,1
сумасшедший,3,4,2,1
кролик,2,4,3,1
косички,2,4,1,3
качели,3,4,1,2
иностранный,1,4,2,3
зубнаяпаста,1,4,2,3
манга,2,4,1,3
ненависть,2,4,3,1
браслет,1,4,2,3
слухи,2,4,3,1
задыхаться,1,4,2,3
поднос,1,4,2,3
хвостик,2,4,1,3
упаковка,2,4,1,3
отказ,1,4,3,2
море,1,4,3,2
решать,1,4,3,2
объяснение,1,4,2,3
пляж,1,4,3,2
отрыжка,3,4,2,1
шутка,2,4,3,1
мгновенный,1,4,2,3
исключить,1,4,3,2
пшеница,2,4,3,1
гладкий,3,4,2,1
душ,1,4,2,3
задумчивый,1,4,2,3
птица,2,4,3,1
компетентный,1,4,2,3
усы,2,4,1,3
бум,3,4,2,1
перерыв,3,4,2,1
подарок,2,4,1,3
нелогичный,1,4,3,2
незрелый,1,4,3,2
кукла,1,4,2,3
детектив,3,4,2,1
зонтик,1,4,2,3
сугой,2,4,1,3
жест,3,4,1,2
корабли,1,4,3,2
волны,1,4,3,2
беспокойство,2,4,3,1
чаинки,1,4,3,2
бутылки,1,4,3,2
ночевка,1,4,3,2
несчастный,2,4,3,1
прикосновение,1,4,2,3
существенный,3,4,2,1
прерывать,1,4,3,2
взаимность,1,4,3,2
вызов,2,4,3,1
язык,1,4,2,3
беглый,1,4,2,3
неуместный,1,4,3,2
объяснение,3,4,2,1
предательство,2,4,3,1
подозрительный,3,4,2,1
лиса,2,4,3,1
экстракт,1,4,3,2
отсутствие,1,4,3,2
берег,1,4,3,2
тарабарщина,1,4,2,3
шампунь,1,4,2,3
ухмылка,3,4,1,2
игривый,2,4,3,1
бака,2,4,1,3
кукуруза,2,4,3,1
мимика,3,4,1,2
джайв,2,4,3,1
лес,2,4,3,1
анекдот,2,4,3,1
интернет,2,4,1,3
плаксивый,3,4,2,1
стискивание,3,4,1,2
чемодан,1,4,2,3
организация,1,4,2,3
чертовка,2,4,3,1
луч,3,4,1,2
бить,3,4,1,2
сюрприз,2,4,1,3
майонез,3,4,2,1
конфликт,1,4,3,2
кексы,3,4,2,1
гигиена,1,4,2,3
разумный,1,4,2,3
возмутительный,1,4,3,2
тосты,3,4,2,1
яйца,3,4,2,1
инопланетянин,1,4,2,3
качели,3,4,1,2
эмодзи,2,4,1,3
оскорбление,2,4,3,1
цветочный,1,4,3,2
ловушка,3,4,1,2
умный,1,4,2,3
полевой,2,4,3,1
умозаключение,3,4,2,1
онлайн,2,4,1,3
разбивать,3,4,2,1
катиться,1,4,3,2
гав,3,4,2,1
шлепок,2,4,3,1
жестокий,3,4,2,1
сообщение,2,4,1,3
немой,3,4,1,2
завернутый,1,4,3,2
шантаж,2,4,3,1
подушка,1,4,3,2
лошадь,2,4,3,1
бег,3,4,1,2
пояс,3,4,1,2
простыни,1,4,3,2
злоупотребление,2,4,3,1
правонарушение,2,4,3,1
ожерелье,1,4,2,3
кора,2,4,1,3
собственный,1,4,3,2
текст,2,4,1,3
клевета,2,4,3,1
хихикать,3,4,1,2
парикмахер,2,4,1,3
мыло,1,4,2,3
молчать,3,4,1,2
обвинять,2,4,3,1
собака,2,4,3,1
кошка,2,4,3,1
невозможно,1,4,3,2
стилист,2,4,1,3
голодный,3,4,1,2
тихий,3,4,1,2
неаккуратный,2,4,3,1
кондиционер,1,4,2,3
дремать,1,4,3,2
донос,1,4,3,2
наклейки,2,4,1,3
завтрак,3,4,2,1
украшать,1,4,2,3
бекон,3,4,2,1
сумочка,1,4,2,3
питомец,2,4,1,3
мода,3,4,1,2
хлопоты,1,4,3,2
школьнаясумка,1,4,2,3
состоять,3,4,2,1
артикулировать,1,4,2,3
аксессуары,1,4,2,3
украшения,1,4,2,3
богохульство,1,4,3,2
принадлежность,1,4,3,2
стрижка,2,4,1,3
сглаз,3,4,2,1
злобный,2,4,3,1
надоедливый,1,4,3,2
сквернословие,1,4,3,2
сеть,2,4,1,3
пони,2,4,1,3
карты,2,4,1,3
переноска,1,4,2,3
надёжный,1,4,2,3
голодать,3,4,1,2
дразнить,2,4,3,1
дезу,2,4,1,3
сдерживать,1,4,2,3
кусать,2,4,3,1
игнорировать,2,4,3,1
противоречие,1,4,3,2
неустойчивый,2,4,3,1
хлеб,3,4,2,1
столкновение,2,4,3,1
чистый,2,4,3,1
заблуждение,2,4,3,1
мяукать,3,4,2,1
разочарование,1,4,3,2
лестница,3,4,1,2
подтвердить,3,4,2,1
ласточка,3,4,1,2
насмешка,2,4,3,1
решимость,2,1,4,3
самоубийство,3,1,4,2
воображение,3,1,4,2
скрытный,3,2,4,1
существование,2,1,4,3
лучезарный,3,2,4,1
багровый,3,2,4,1
вихрь,3,2,4,1
послеобразы,3,2,4,1
головокружение,1,3,4,2
дезориентированность,3,1,4,2
сущность,2,1,4,3
окружение,2,1,4,3
беспорядок,3,2,4,1
загрязнение,3,2,4,1
интеллектуальный,2,1,4,3
анализ,2,1,4,3
энтропия,1,2,4,3
бодрый,3,2,4,1
сверхъестественный,3,2,4,1
несоответствие,2,1,4,3
гнев,3,2,4,1
небесный,2,1,4,3
резня,3,2,4,1
философия,2,1,4,3
переменчивый,3,1,4,2
упорный,3,1,4,2
аура,2,1,4,3
нестабильный,3,1,4,2
инферно,3,2,4,1
неспособный,3,2,4,1
судьба,2,1,4,3
непогрешимый,2,1,4,3
мучительный,3,1,4,2
дисперсия,3,1,4,2
неконтролируемый,3,1,4,2
экстремальный,2,1,4,3
бегство,3,2,4,1
мечта,2,1,4,3
катастрофа,3,1,4,2
яркий,3,1,4,2
яркий,1,3,4,2
вопрос,1,2,4,3
нагноение,3,2,4,1
осуждение,2,1,4,3
клетка,1,2,4,3
взрыв,2,3,4,1
удовольствие,1,3,4,2
похоть,1,3,4,2
ощущение,1,3,4,2
кульминация,1,3,4,2
электричество,1,2,4,3
отрекаться,3,1,4,2
презирать,3,2,4,1
бесконечный,2,1,4,3
вечность,2,1,4,3
время,2,1,4,3
вселенная,2,1,4,3
бесконечный,2,1,4,3
каплидождя,3,1,4,2
жаждать,1,3,4,2
безудержный,3,1,4,2
пейзаж,2,1,4,3
портрет,2,1,4,3
путешествие,3,1,4,2
скудный,3,1,4,2
беспокойство,3,2,4,1
испуг,3,1,4,2
ужас,3,1,4,2
меланхолия,3,1,4,2
прозрение,2,1,4,3
искупление,3,1,4,2
дышать,1,3,4,2
пленник,3,1,4,2
желание,1,3,4,2
кладбище,3,2,4,1
орион,1,3,4,2
грохот,2,3,4,1
медаль,2,3,4,1
колеблющийся,3,1,4,2
рассыпаться,1,3,4,2
атмосфера,1,2,4,3
ядерный,1,2,4,3
геркулес,1,3,4,2
разрастаться,2,3,4,1
скудный,3,1,4,2
загадочный,1,3,4,2
инвазивный,2,3,4,1
симулякр,3,2,4,1
пропасть,1,2,4,3
расформирование,1,3,4,2
спонтанный,1,3,4,2
озарение,3,2,4,1
расспрашивать,1,2,4,3
допрашивать,1,2,4,3
предполагать,1,2,4,3
структурированный,1,2,4,3
логический,1,2,4,3
фундаментальный,2,3,4,1
аромат,1,2,4,3
лезвие,2,3,4,1
первичный,3,2,4,1
устоявшийся,2,1,4,3
запах,1,2,4,3
признак,2,3,4,1
дух,2,1,4,3
резка,2,3,4,1
тайный,1,3,4,2
колдовать,3,1,4,2
притяжение,2,1,4,3
искупить,3,1,4,2
афродита,1,3,4,2
иллюзия,2,1,4,3
колебание,2,1,4,3
фонарь,3,2,4,1
нерв,3,2,4,1
аркан,1,3,4,2
нежелательный,2,3,4,1
принцип,1,2,4,3
сосуд,1,2,4,3
приз,2,3,4,1
ручка,2,3,4,1
интимный,1,3,4,2
расходиться,1,3,4,2
пустота,1,2,4,3
накаливание,3,2,4,1
запрос,1,2,4,3
материал,1,2,4,3
смаковать,1,3,4,2
блестящий,2,1,4,3
край,2,3,4,1
сверкать,3,2,4,1
исчезать,1,3,4,2
соединяться,2,3,4,1
непознаваемый,1,3,4,2
пробуждать,1,3,4,2
естественный,2,3,4,1
ураган,3,1,4,2
диплом,2,3,4,1
извиняться,3,1,4,2
осуждать,3,2,4,1
нож,2,3,4,1
неухоженный,3,2,4,1
наблюдение,2,3,4,1
законсервированный,2,3,4,1
необитаемый,2,3,4,1
пропасть,1,2,4,3
антагонизировать,3,2,4,1
усугублять,3,1,4,2
пробуждать,1,3,4,2
возмущаться,3,2,4,1
слаженный,1,2,4,3
ползти,2,1,4,3
инсинуация,2,3,4,1
достижение,2,3,4,1
пароль,1,3,4,2
закрытый,1,3,4,2
террор,3,1,4,2
квант,1,2,4,3
грязь,3,2,4,1
изображать,3,1,4,2
Эдип,1,3,4,2
соитие,1,3,4,2
обращение,2,3,4,1
реверберация,2,3,4,1
выход,1,2,4,3
магнитный,2,1,4,3
трофей,2,3,4,1
вихрь,3,2,4,1
окаменелый,3,2,4,1
изображать,3,1,4,2
детонация,2,3,4,1
неизбежный,3,1,4,2
притягивать,2,1,4,3
расположенный,1,2,4,3
символизм,2,3,4,1
замысловатый,2,1,4,3
излияние,1,2,4,3
невероятный,1,2,4,3
нетронутый,2,3,4,1
гигантский,1,2,4,3
неподвижный,3,1,4,2
шторм,3,1,4,2
взрывной,2,3,4,1
заядлый,1,3,4,2
преступник,2,3,4,1
прибор,1,2,4,3
каскад,1,2,4,3
искажать,1,3,4,2
доисторический,2,3,4,1
связный,1,2,4,3
предикат,1,2,4,3
навязчивый,2,1,4,3
соблазнять,1,3,4,2
призрак,2,1,4,3
сравнивать,2,1,4,3
коллапс,2,1,4,3
сходиться,2,1,4,3
сила,2,3,4,1
неискренний,3,1,4,2
коррупция,2,3,4,1
соответствовать,2,1,4,3
резкий,2,3,4,1
олимпийский,2,3,4,1
экспромт,1,3,4,2
частный,1,3,4,2
приют,1,2,4,3
дионис,1,3,4,2
блеск,3,2,4,1
напряжение,1,2,4,3
подтекст,2,3,4,1
означать,2,3,4,1
меч,2,3,4,1
поправка,3,1,4,2
изгой,3,1,4,2
громоотвод,3,1,4,2
полость,1,2,4,3
сингулярность,1,3,4,2
жасмин,1,2,4,3
ток,1,2,4,3
разрушение,1,3,4,2
извращенный,2,3,4,1
спасение,3,2,4,1
светильник,3,2,4,1
пустота,1,2,4,3
требование,1,2,4,3
изменчивый,3,1,4,2
гореть,2,3,4,1
сопротивление,1,2,4,3
ахилл,1,3,4,2
лимб,3,2,4,1
группа,2,1,4,3
адамант,2,1,4,3
ладан,1,2,4,3
инстинкт,3,2,4,1
пульсация,1,3,4,2
компромисс,3,1,4,2
резонанс,2,3,4,1
тление,1,2,4,3
инфантильность,3,2,4,1
мрачный,3,1,4,2
соответствующий,1,2,4,3
травмировать,3,1,4,2
жалкий,3,2,4,1
чистилище,3,2,4,1
сизиф,1,3,4,2
ненависть,3,2,4,1
спираль,3,2,4,1
триумфальный,2,3,4,1
континентальный,3,2,1,4
альт,3,1,2,4
обида,3,1,2,4
будущее,3,1,2,4
уверенность,3,2,1,4
пылкость,3,2,1,4
всеведение,3,1,2,4
желание,3,2,1,4
реальность,3,1,2,4
обеспечивать,3,2,1,4
исходящий,3,2,1,4
поддержка,3,2,1,4
кумир,3,1,2,4
скрипка,3,1,2,4
отдельный,3,2,1,4
путь,3,2,1,4
щедрый,3,1,2,4
недостаточный,3,2,1,4
пространство,3,1,2,4
фортепиано,3,1,2,4
конечный,3,1,2,4
перекресток,3,2,1,4
стресс,3,2,1,4
репутация,3,1,2,4
маршрут,3,2,1,4
благожелательный,3,1,2,4
уполномоченный,3,1,2,4
судьба,3,1,2,4
общительный,3,2,1,4
душа,3,1,2,4
ревность,3,2,1,4
мотивация,3,2,1,4
выбор,3,2,1,4
нежность,3,1,2,4
долг,3,1,2,4
гобой,3,1,2,4
расстояние,3,2,1,4
модель,3,1,2,4
совершенствование,3,2,1,4
терпение,3,1,2,4
давление,3,1,2,4
экстраверт,3,2,1,4
раскаиваться,3,1,2,4
ответственность,3,2,1,4
отчаяние,3,2,1,4
социальный,3,2,1,4
воля,3,2,1,4
доброжелательность,3,2,1,4
продуктивный,3,2,1,4
оставление,3,1,2,4
намерения,3,1,2,4
вежливый,3,1,2,4
свобода,3,2,1,4
труба,3,1,2,4
совет,3,2,1,4
откровение,3,1,2,4
знание,3,2,1,4
отменить,3,1,2,4
отказываться,3,1,2,4
интересный,3,2,1,4
перфекционист,3,2,1,4
популярный,3,1,2,4
приглашение,3,2,1,4
полезный,3,2,1,4
флейта,3,1,2,4
неразлучный,3,2,1,4
дезистенция,3,1,2,4
фасад,3,1,2,4
экзистенциальный,3,1,2,4
презренный,3,2,1,4
ресурс,3,2,1,4
иррациональный,3,2,1,4
неполноценный,3,2,1,4
фестиваль,3,2,1,4
виолончель,3,1,2,4
борьба,3,2,1,4
визит,3,2,1,4
лидерство,3,1,2,4
президент,3,1,2,4
совершенство,3,1,2,4
сила,3,2,1,4
клуб,3,1,2,4
авторитет,3,1,2,4
убеждать,1,3,2,4
блокнот,1,3,2,4
представить,2,3,1,4
эскапада,2,3,1,4
аплодисменты,2,3,1,4
удаление,1,3,2,4
беспрецедентный,1,3,2,4
непохожий,1,3,2,4
старательный,2,3,1,4
рассудительный,1,3,2,4
рукописный,1,3,2,4
обоснованный,1,3,2,4
мнение,1,3,2,4
истина,1,3,2,4
компиляция,1,3,2,4
яблоко,2,3,1,4
престиж,2,3,1,4
личность,1,3,2,4
футбол,2,3,1,4
атлетика,2,3,1,4
писать,1,3,2,4
солипсизм,2,3,1,4
бинарный,1,3,2,4
упорство,2,3,1,4
доказательства,1,3,2,4
теннис,2,3,1,4
успех,2,3,1,4
упорство,2,3,1,4
артистизм,2,3,1,4
футбол,2,3,1,4
личность,1,3,2,4
презентация,2,3,1,4
ловкость,2,3,1,4
тактичный,1,3,2,4
овощи,2,3,1,4
гарнер,2,3,1,4
талантливый,2,3,1,4
кроссовер,2,3,1,4
кофе,2,3,1,4
имитация,2,3,1,4
интонация,2,3,1,4
линия,1,3,2,4
непрерывность,2,3,1,4
заключение,2,3,1,4
карандаш,1,3,2,4
возражать,1,3,2,4
чернила,1,3,2,4
плавание,2,3,1,4
ресторан,2,3,1,4
харизма,2,3,1,4
трудолюбивый,2,3,1,4
спорт,2,3,1,4
перезагрузка,2,3,1,4
дебаты,1,3,2,4
травление,1,3,2,4
реституция,1,3,2,4
позиция,1,3,2,4
баскетбол,2,3,1,4
каллиграфия,1,3,2,4
посуда,1,3,2,4
обвинение,1,3,2,4
кисть,1,3,2,4
клавиатура,1,3,2,4
аргумент,1,3,2,4
отдельный,1,3,2,4
бумага,1,3,2,4
характер,2,3,1,4
стремление,2,3,1,4
правосудие,1,3,2,4
прецедент,1,3,2,4
еда,2,3,1,4
интервал,1,3,2,4
кальмар,2,3,1,4
определённый,1,3,2,4
раскаяние,1,3,2,4
интервал,1,3,2,4
кальмар,2,3,1,4
определённый,1,3,2,4
ручка,1,3,2,4
программирование,1,3,2,4
ценность,2,3,1,4
дикция,2,3,1,4
соперничество,2,3,1,4
арбуз,2,3,1,4
код,1,3,2,4
трансцендентный,2,3,1,4
книга,1,2,3,4
чувство,2,1,3,4
сапфир,2,1,3,4
поэма,1,2,3,4
периферия,2,1,3,4
менталитет,2,1,3,4
выдающийся,1,2,3,4
муза,1,2,3,4
поддержка,1,2,3,4
искусственный,2,1,3,4
независимый,2,1,3,4
питон,2,1,3,4
одиночество,2,1,3,4
абстрактный,2,1,3,4
летаргия,2,1,3,4
параллель,1,2,3,4
ортодоксальный,1,2,3,4
бессилие,2,1,3,4
бриллиант,2,1,3,4
учебник,1,2,3,4
пропитание,2,1,3,4
воображение,2,1,3,4
ясновидящий,2,1,3,4
формальный,1,2,3,4
визуализация,2,1,3,4
грандиозный,1,2,3,4
самосознание,2,1,3,4
лингвистический,1,2,3,4
единый,1,2,3,4
симфония,1,2,3,4
личность,1,2,3,4
сердечный,1,2,3,4
внимательный,2,1,3,4
амбивалентный,2,1,3,4
убунту,2,1,3,4
медитировать,2,1,3,4
разъединение,2,1,3,4
учиться,1,2,3,4
факультет,1,2,3,4
значимость,1,2,3,4
гармония,1,2,3,4
прозрение,2,1,3,4
изумрудный,2,1,3,4
увековечить,2,1,3,4
эзотерика,1,2,3,4
раскрывать,1,2,3,4
аккорд,1,2,3,4
флегматик,1,2,3,4
поэзия,1,2,3,4
отчуждение,2,1,3,4
структура,2,1,3,4
сочинять,1,2,3,4
рубин,2,1,3,4
творчество,2,1,3,4
назначение,1,2,3,4
холерик,1,2,3,4
времяпрепровождение,2,1,3,4
алгоритм,2,1,3,4
серебро,2,1,3,4
затворничество,2,1,3,4
эмоция,2,1,3,4
выступление,1,2,3,4
школа,1,2,3,4
участие,2,1,3,4
слова,1,2,3,4
роман,1,2,3,4
повествование,2,1,3,4
синтаксис,2,1,3,4
апокрифический,1,2,3,4
напыщенный,1,2,3,4
подсознание,2,1,3,4
метафора,1,2,3,4
интеллект,1,2,3,4
литература,1,2,3,4
оценка,1,2,3,4
сдерживание,2,1,3,4
уединение,2,1,3,4
первозданный,1,2,3,4
сангвиник,1,2,3,4
психика,1,2,3,4
символ,1,2,3,4
диссоциация,2,1,3,4
черта,1,2,3,4
золотой,2,1,3,4
удержание,2,3,1,4
алчность,3,3,1,4
углубляться,3,2,1,4
отсеивание,1,2,2,4
